iot_id,observation_type,lat,lon
15792,car,53.62193,9.885317
15796,car,53.621806,9.885103
15800,car,53.650533,9.949719
15804,car,53.65047,9.949823
15808,car,53.650597,9.949614
15812,car,53.635887,9.900144
15816,car,53.635825,9.900037
15820,car,53.635949,9.900251
15824,car,53.596867,9.849631
15828,car,53.596929,9.849738
15832,car,53.596805,9.849524
15836,car,53.55957,10.066572
15840,car,53.614392,10.156782
15844,car,53.601956,10.069257
15848,car,53.60202,10.069153
15852,car,53.635161,9.922255
15856,car,53.601892,10.069361
15860,car,53.569857,9.735546
15864,car,53.569767,9.735545
15868,car,53.569947,9.735548
15872,car,53.637844,10.192484
15876,car,53.637908,10.19238
15880,car,53.63778,10.192588
15884,car,53.512399,9.971224
15888,car,53.512309,9.971222
15892,car,53.512489,9.971226
15896,car,53.576176,10.059031
15900,car,53.57624,10.058926
15904,car,53.576113,10.059135
15908,car,53.568483,10.060983
15912,car,53.568419,10.061087
15916,car,53.533071,10.022181
15920,car,53.53307,10.022332
15924,car,53.554225,10.084145
15928,car,53.554226,10.083994
15932,car,53.533072,10.02203
15936,car,53.554224,10.084296
15940,car,53.554176,10.004333
15944,car,53.554112,10.004438
15948,car,53.553018,10.085382
15952,car,53.552956,10.085275
15956,car,53.552651,10.084256
15960,car,53.552652,10.084105
15964,car,53.55308,10.085489
15968,car,53.55265,10.084406
15972,car,53.513037,10.16996
15976,car,53.513099,10.170067
15980,car,53.512975,10.169853
15984,car,53.571386,10.12489
15988,car,53.571388,10.124739
15992,car,53.570627,10.124417
15996,car,53.570628,10.124266
16000,car,53.570966,10.125574
16004,car,53.570877,10.125572
16008,car,53.570625,10.124568
16012,car,53.571056,10.125576
16016,car,53.570984,10.123672
16020,car,53.570894,10.123669
16024,car,53.515136,10.16492
16028,car,53.592746,10.110258
16032,car,53.576176,10.059031
16036,car,53.592745,10.110409
16040,car,53.571385,10.125041
16044,car,53.571074,10.123674
16048,car,53.55424,10.004229
16052,car,53.448826,9.963629
16056,car,53.448763,9.963733
16060,car,53.44889,9.963525
16064,car,53.519241,10.015347
16068,car,53.519243,10.015196
16072,car,53.463209,10.019929
16076,car,53.463119,10.019927
16080,car,53.463299,10.019932
16084,car,53.470659,9.924018
16088,car,53.470749,9.92402
16092,car,53.470569,9.924017
16096,car,53.51924,10.015498
16100,car,53.614068,10.155881
16104,car,53.447991,9.91794
16108,car,53.44799,9.918091
16112,car,53.447992,9.917789
16116,car,53.674391,10.055846
16120,car,53.674329,10.055738
16124,car,53.674453,10.055953
16128,car,53.460439,9.975942
16132,car,53.672369,10.0909
16136,car,53.67237,10.090748
16140,car,53.672367,10.091051
16144,car,53.55067,9.985926
16148,car,53.550672,9.985775
16152,car,53.550669,9.986077
16156,car,53.600598,10.069328
16160,car,53.60066,10.069436
16164,car,53.600536,10.069221
16168,car,53.600608,10.068225
16172,car,53.600544,10.068329
16176,car,53.600672,10.068121
16194,car,53.544213,9.980856
16198,car,53.544123,9.980854
16202,car,53.598711,10.031381
16206,car,53.600147,10.027396
16210,car,53.60113,10.034357
16214,car,53.600237,10.027399
16218,car,53.60104,10.034355
16222,car,53.598709,10.031532
